"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"328",30,"ROOSEVELT RD",41.866945549,-87.653103556,"crash","143","1.9"
"329",35,"HALSTED ST",41.714125649,-87.642852547,"crash","035","2.5"
"330",30,"ROOSEVELT RD",41.866979205,-87.650944041,"crash","143","2"
"331",30,"CHICAGO AVE",41.895965307,-87.667206481,"crash","076","1.2"
"332",30,"RACINE AVE",41.812276979,-87.655389735,"crash","118","1.8"
"333",20,"WINTHROP AVE",41.989157342,-87.658333422,"crash","093","1.1"
"334",30,"ASHLAND AVE",41.885348559,-87.667114404,"crash","076","0"
"335",30,"DIVERSEY AVE",41.932287183,-87.687950093,"crash","026","1.4"
"336",30,"115TH ST",41.683991816,-87.725017276,"crash","048","1.1"
"337",25,"GRANVILLE AVE",41.993907181,-87.696259772,"crash","051","1"
"338",30,"77TH ST",41.755001897,-87.60769476,"crash","063","2.7"
"339",30,"CICERO AVE",41.865974196,-87.744903494,"crash","160","2"
"340",30,"WENTWORTH AVE",41.838974851,-87.631842672,"crash","117","1.6"
"341",30,"KIMBALL AVE",41.983489446,-87.713916732,"crash","024","0.9"
"342",30,"ROOSEVELT RD",41.867149393,-87.654044954,"crash","143","1.8"
"343",15,"SACRAMENTO AVE",41.93550969,-87.70246072,"crash","028","1.6"
"344",30,"87TH ST",41.736145128,-87.626917844,"crash","036","1.6"
"345",25,"POTOMAC AVE",41.904559595,-87.727929397,"crash","159","0.5"
"346",35,"PULASKI RD",41.805945239,-87.723673079,"crash","030","0.2"
"347",30,"CERMAK RD",41.85297603,-87.62377487,"crash","033","2.3"
"348",35,"PULASKI RD",41.805945239,-87.723673079,"crash","030","0.2"
"349",30,"134TH ST",41.651741253,-87.545126298,"crash","120","6.4"
